"URL","Title","Meta Description","H1","H2s","Primary Keyword","Secondary Keywords"
"/","iSwift – Smart Home Automation Simplified","Discover luxury smart home automation solutions for Delhi NCR homeowners and professionals. Book a free demo with iSwift today.","Smart Home. The iSwift Way.","Our Solutions; Experience iSwift in Action","smart home automation delhi","smart home delhi; home automation company"
"/products","Products – Smart Home Devices | iSwift","Browse smart home devices including locks, doorbells, mesh Wi‑Fi and more. Filter by category, price or compatibility.","Products","Filters; Product Grid","smart home products","smart locks; smart doorbells; mesh wifi"
"/product/{slug}","{Product Name} – iSwift Smart Device","Detailed information, specifications, FAQs and gallery for {Product Name}, a smart home device from iSwift.","{Product Name}","Overview; Specifications; Features; FAQs","smart {product name}","smart home device; {product category}"
"/solutions","Smart Home Solutions – iSwift","Explore iSwift’s comprehensive range of smart home solutions for lighting, security, climate control and more.","Our Solutions","","smart home solutions","smart home services; home automation solutions"
"/solution/{slug}","{Solution Title} – iSwift Smart Home Solution","Learn about our {Solution Title} solution including benefits and integration options.","{Solution Title}","Key Benefits","{solution title}","smart home {solution}; {solution title} benefits"
"/projects","Projects – iSwift","Browse selected smart home projects completed by the iSwift team across Delhi NCR.","Our Projects","","smart home projects delhi","smart home case studies; smart home installation examples"
"/project/{slug}","{Project Title} – iSwift Project","Case study detailing {Project Title} with location, solutions used and outcomes.","{Project Title}","Solutions Used; Results","{project title} case study","smart home project; {city} smart home"
"/learn","Learn – Smart Home Guides & Insights | iSwift","Explore articles, guides and tutorials on smart home automation, product comparisons, installation tips and more.","Learn","","smart home guides","smart home tutorials; smart home blog"
"/homeowners","Smart Home Solutions for Homeowners – iSwift","Discover how iSwift simplifies life for homeowners in Delhi NCR with smart lighting, security, climate control and more.","For Homeowners","Safety & Security; Comfort & Convenience; Energy Savings; Ease of Use","smart home for homeowners","homeowners smart home solutions; smart home benefits"
"/professionals","Partnerships for Professionals – iSwift","Collaborate with iSwift and deliver cutting‑edge smart home solutions to your clients. Learn about our partnership program.","Partner with iSwift","Why Partner with Us; Training & Resources; Dedicated Support","smart home partnerships","smart home installers; architect partnerships"
"/book-demo","Book a Free Demo – iSwift","Schedule a free smart home consultation with iSwift. Choose your preferred slot, tell us about your project and get personalised recommendations.","Book a Free Demo","","book smart home demo","smart home consultation"
"/service-areas","Installation & Service Areas – iSwift","iSwift provides smart home installation and support across Delhi NCR including Delhi, Noida, Gurugram, Ghaziabad, Faridabad and Greater Noida.","Where We Operate","","smart home installation delhi ncr","home automation service area; installation support"
"/service-area/{slug}","Smart Home Automation in {City} – iSwift","Learn about iSwift’s smart home installation services in {City} and how to book a demo.","Smart Home Automation in {City}","","smart home {city}","home automation {city}; smart home installation {city}"
"/contact","Contact Us – iSwift","Reach out to iSwift for smart home consultations, support and general enquiries.","Contact Us","Visit Us; Call or Email; Send us a Message","contact iswift","smart home support; smart home enquiry"
"/pricing","Pricing & Quotations – iSwift","Explore indicative pricing for iSwift smart home solutions in Delhi NCR. Contact us for personalised quotations.","Pricing & Quotations","","home automation price","smart home cost india; home automation quotes"
"/testimonials","Client Testimonials – iSwift","See what our clients in Delhi NCR say about their experience with iSwift’s smart home installations.","Client Testimonials","","smart home testimonials","customer reviews; smart home success stories"
"/faqs","FAQs – iSwift","Find answers to common questions about iSwift smart home automation products and services.","Frequently Asked Questions","","smart home faqs","home automation questions"
"/warranty-support","Warranty & Support – iSwift","Learn about iSwift’s warranty coverage and support services for our smart home products and installations.","Warranty & Support","Warranty Coverage; Support Services","smart home warranty","smart home support"
"/about","About iSwift – Our Story & Vision","Learn about iSwift’s mission to simplify smart home automation in Delhi NCR, our team of experts and our commitment to quality and service.","About iSwift","Our Mission; Our Values; Meet Our Team; Certifications & Partnerships","about iswift","smart home company; iswift mission"
"/privacy","Privacy Policy – iSwift","Learn how iSwift collects, uses and protects your personal information when you visit our website or use our smart home services.","Privacy Policy","Information We Collect; How We Use Information; Your Rights","iswift privacy policy","smart home privacy"
"/terms","Terms of Use – iSwift","Review the terms and conditions for using the iSwift website and services.","Terms of Use","Use of Website; Intellectual Property; Limitation of Liability; Changes to Terms","iswift terms","smart home terms of use"
