"Theme","Primary Keyword","Secondary Keywords","Intent","SERP Features","Top Competing Pages","Difficulty"
"Home Automation Delhi","home automation delhi","smart home automation delhi; home automation companies delhi; smart home installation delhi","Commercial – users seeking installers and service providers","Local pack, People also ask, Organic results","octomation.in; wozart.com; oobsmarthome.com; sascosmarthome.com; techvault.co.in","Medium"
"Smart Home Gurgaon","smart home automation gurgaon","home automation gurugram; smart home installers gurgaon; home automation company gurgaon","Commercial","Local pack, People also ask, Organic results","hogarcontrols.com; siota.in; smartify.in; techvault.co.in; octomation.in","Medium"
"Smart Home Noida","smart home automation noida","home automation noida; smart home systems noida; automation company noida","Commercial","Local pack, People also ask, Organic results","techvault.co.in; siota.in; octomation.in; wozart.com; hogarcontrols.com","Medium"
"Video Doorbell Delhi","video door phone delhi","video doorbell delhi; door phone installation delhi; smart doorbell delhi","Commercial/Informational","Shopping ads, Product listings, People also ask","amazon.in; flipkart.com; ring.com; nest.com; oakter.com","Low"
"Mesh Wi‑Fi Delhi","wifi mesh network setup delhi","mesh wifi installation delhi; best mesh wifi delhi; whole home wifi delhi","Commercial/Informational","Shopping ads, Review articles, People also ask","netgear.com; linksys.com; tp-link.com; techvault.co.in; cnet.com","Low"
"Smart Curtains Delhi","smart curtains delhi","motorized blinds delhi; smart curtain installation; automated blinds delhi","Commercial/Informational","Local pack, People also ask, Organic results","oobsmarthome.com; hogarcontrols.com; gauravlux.com; alisanhomes.com; amazon.in","Medium"
"Smart Locks Delhi","smart locks delhi","digital door locks delhi; keyless locks delhi; smart lock installation","Commercial/Informational","Shopping ads, Local pack, People also ask","godrejlocks.com; yalehome.com; wyze.com; wozart.com; amazon.in","Medium"
"Motion Sensors Installation","motion sensor installation delhi","motion sensor installation services; pir sensor installation; home security sensors delhi","Commercial/Informational","People also ask, Organic results","oakter.com; hogarsmart.com; vifitsecurity.com; techvault.co.in; amazon.in","Low"
"Home Automation Price","home automation price india","home automation cost india; smart home price; home automation quotes","Informational/Commercial","Featured snippets, People also ask, Comparison articles","livguard.com; tata-power.com; oakter.com; blog articles on livspace.com; timesofindia.indiatimes.com","Medium"
"Retrofit Smart Switch","retrofit smart switch","retrofit smart switch india; retrofit smart switch price; smart switch module","Informational/Commercial","Shopping ads, Product listings, People also ask","oakter.com; hogarsmart.com; tp-link.com; d-link.com; amazon.in","Low"
